sample_index,filename,label,test_fold
0,clear.000.jpg,1,1
1,clear.001.jpg,1,2
2,clear.002.jpg,1,3
3,clear.003.jpg,1,4
4,clear.004.jpg,1,5
5,clear.005.jpg,1,6
6,clear.006.jpg,1,7
7,clear.007.jpg,1,8
8,clear.008.jpg,1,9
9,clear.009.jpg,1,10
10,clear.010.jpg,1,11
11,clear.011.jpg,1,12
12,clear.012.jpg,1,13
13,clear.013.jpg,1,14
14,clear.014.jpg,1,15
15,clear.015.jpg,1,16
16,clear.016.jpg,1,17
17,clear.017.jpg,1,18
18,clear.018.jpg,1,19
19,clear.019.jpg,1,20
20,clear.020.jpg,1,21
21,clear.021.jpg,1,22
22,clear.022.jpg,1,23
23,clear.023.jpg,1,24
24,clear.024.jpg,1,25
25,clear.025.jpg,1,26
26,clear.026.jpg,1,27
27,clear.027.jpg,1,28
28,clear.028.jpg,1,29
29,clear.029.jpg,1,30
30,clear.030.jpg,1,31
31,clear.031.jpg,1,32
32,clear.032.jpg,1,33
33,clear.033.jpg,1,34
34,clear.034.jpg,1,35
35,clear.035.jpg,1,36
36,clear.036.jpg,1,37
37,clear.037.jpg,1,38
38,clear.038.jpg,1,39
39,clear.039.jpg,1,40
40,clear.040.jpg,1,41
41,clear.041.jpg,1,42
42,clear.042.jpg,1,43
43,clear.043.jpg,1,44
44,clear.044.jpg,1,45
45,clear.045.jpg,1,46
46,clear.046.jpg,1,47
47,clear.047.jpg,1,48
48,clear.048.jpg,1,49
49,clear.049.jpg,1,50
50,clear.050.jpg,1,51
51,clear.051.jpg,1,52
52,clear.052.jpg,1,53
53,clear.053.jpg,1,54
54,clear.054.jpg,1,55
55,clear.055.jpg,1,56
56,clear.056.jpg,1,57
57,clear.057.jpg,1,58
58,clear.058.jpg,1,59
59,clear.059.jpg,1,60
60,clear.060.jpg,1,61
61,clear.061.jpg,1,62
62,clear.062.jpg,1,63
63,clear.063.jpg,1,64
64,clear.064.jpg,1,65
65,clear.065.jpg,1,66
66,clear.066.jpg,1,67
67,clear.067.jpg,1,68
68,clear.068.jpg,1,69
69,clear.069.jpg,1,70
70,clear.070.jpg,1,71
71,clear.071.jpg,1,72
72,clear.072.jpg,1,73
73,clear.073.jpg,1,74
74,clear.074.jpg,1,75
75,clear.075.jpg,1,76
76,clear.076.jpg,1,77
77,clear.077.jpg,1,78
78,clear.078.jpg,1,79
79,clear.079.jpg,1,80
80,clear.080.jpg,1,81
81,clear.081.jpg,1,82
82,clear.082.jpg,1,83
83,clear.083.jpg,1,84
84,clear.084.jpg,1,85
85,clear.085.jpg,1,86
86,clear.086.jpg,1,87
